alleviate      	/ə'li:vieit/        	v.减轻，缓和，缓解(痛苦等)     
	anonymous      	/ə'nɔniməs/         	a.匿名的，无名的，姓氏不明的     
	emphasize      	/'emfəsaiz/         	v.(emphasise)强调     
	pollution      	/pə:'lju:ʃən/       	n.污染                
	important      	/im'pɔ:tənt/        	a.重要的,重大的;有地位的,有权力的 
	temporary      	/'tempərəri/        	a.暂时的,临时的           
	eccentric      	/ik'sentrik/        	a.古怪的，怪癖的，异乎寻常的n.古怪的人
	conscious      	/'kɔnʃəs/           	a.(of)意识到的,自觉的;神志清醒的
	exception      	/ik'sepʃən/         	n.例外,除外;反对;异议       
	constrain      	/kən'strein/        	vt.限制，约束；克制，抑制      
	gratitude      	/'grætɪtju:d/       	n.感激,感谢             
	potential      	/pəu'tenʃəl/        	a.潜在的,可能的 n.潜能,潜力   
	worldwide      	/'wə:ldˌwaid/       	a.全世界的,世界范围的 ad.遍及全世界
	reconcile      	/'rekənsail/        	v.使和好,调解,使调和;(to,with)使一致
	obedience      	/ə'bi:diəns/        	n.服从,顺从             
	recognize      	/'rekəgnaɪz/        	v.(recognise)认出,承认,公认,赏识,表扬
	sensitive      	/'sensətɪv/         	a.(to)敏感的,易受伤害的;灵敏的 
	cafeteria      	/ˌkæfə'tɪəriə/      	n.自助食堂              
	rectangle      	/'rekˌtæŋgl/        	n.[数]矩形, 长方形        
	essential      	/i'senʃəl/          	a.本质的,基本的;净化的 n.本质;要素
	direction      	/di'rekʃən/         	n.方向,方位;指令,说明       
	redundant      	/ri'dʌndənt/        	a.多余的,过剩的;(食物)丰富的;被解雇的
	sculpture      	/'skʌlptʃə/         	n.雕刻(术)，雕塑(术)；雕刻作品  
	interrupt      	/ˌintə'rʌpt/        	v.中断,遮断,阻碍;打断(话),打扰 
	discharge      	/dis'tʃɑ:dʒ/        	v.                  
	programme      	/'prəugræm/         	n.(program)节目,计划,规划,程序 v.编程序
	desirable      	/di'zaiərəbl/       	a.值得做的;合意的,称心的;期望得到的
	introduce      	/ˌintrə'dju:s/      	vt.介绍；引进，传入；提出(议案等) 
	favorable      	/'feivərəbl/        	a.(favourable)赞许的,有利的,讨人喜欢的
	container      	/kən'teinə/         	n.容器;集装箱            
	northeast      	/ˌnɔ:θ'i:st/        	n.东北 a.东北方的 ad.向东北,在东北
