alleviate      	/ə'li:vieit/        	v.减轻，缓和，缓解(痛苦等)     
	realistic      	/ˌriə'listik/       	a.现实(主义)的           
	nutrition      	/nju:'triʃən/       	n.营养,营养学            
	component      	/kəm'pəunənt/       	n.组成部分,成分,元件 a.组成的,合成的
	character      	/'kærəktə/          	n.性格,品质,特性;人物,角色;字符,(汉)字
	spaceship      	/'speisʃip/         	n.宇宙飞船              
	patriotic      	/ˌpætri'ɔtik/       	a.爱国的               
	parameter      	/pə'ræmitə/         	n.参数,参量             
	badminton      	/'bædmintən/        	n.羽毛球               
	confusion      	/kən'fju:ʒən/       	n.困惑，糊涂；混淆；混乱，骚乱    
	housework      	/'hauswə:k/         	n.家务，家事(不可数)        
	confident      	/'kɔnfidənt/        	n.(of,in)确信的,自信的    
	continual      	/kən'tinjuəl/       	a.不断的,连续的,频繁的       
	machinery      	/mə'ʃi:nəri/        	n.(总称)机器,机械         
	historian      	/his'tɔ:riən/       	n.历史学家              
	communism      	/'kɔmjunizəm/       	n.共产主义              
	remainder      	/ri'meində/         	n.剩余物,剩下的;余数,余项     
	snowstorm      	/'snəustɔ:m/        	n.暴风雪               
	whichever      	/hwitʃ'evə/         	pron.               
	messenger      	/'mesindʒə/         	n.送信者,使者,传令兵        
	passenger      	/'pæsindʒə/         	n.乘客,旅客             
	condition      	/kən'diʃən/         	n.条件，状况，环境 vt.决定；支配；训练
	poisonous      	/'pɔizənəs/         	a.有毒的,恶意的,恶毒的,道德败坏的 
	unanimous      	/ju:'næniməs/       	a.全体一致的,一致同意的       
	personnel      	/ˌpə:sə'nel/        	n.全体人员,全体职员;人事(部门)  
	implement      	/'implimənt/        	n.(pl.)工具,器具 v.贯彻,实现
	universal      	/ˌju:ni'və:səl/     	a.普遍的,全体的,通用的;宇宙的,世界的
	gentleman      	/'dʒentlmən/        	n.绅士,先生             
	biography      	/bai'ɔgrəfi/        	n.传记；传记文学           
	turbulent      	/'tə:bjulənt/       	a.狂暴的,无秩序的          
	tradition      	/trə'diʃən/         	n.传统； 惯例； 传说        
	hamburger      	/'hæmbɜ:gə(r)/      	n.汉堡包,牛肉饼           
	pneumonia      	/nju:'məunjə/       	n.肺炎                
	statesman      	/'steitsmən/        	n.政治家,国务活动家         
	economics      	/ˌi:kə'nɔmiks/      	n.经济学,经济情况          
	sarcastic      	/sɑ:'kæztik/        	a.讽刺的               
	marvelous      	/'mɑ:viləs/         	a.(marvellous)惊人的,奇迹般的,妙极的
	judgement      	/'dʒʌdʒmənt/        	n.(judgment)审判,判决;判断(力);看法,意见
	bacterium      	/bæk'tiəriəm/       	n.(pl.)bacteria 细菌  
	difficult      	/'difikəlt/         	a.困难的,艰难的           
	precision      	/pri'siʒən/         	n.精确,精确度            
	spectator      	/spek'teitə/        	n.观众,旁观者            
	overwhelm      	/ˌəuvə'welm/        	v.淹没,覆没,压倒,制服,使不知所措 
	editorial      	/ˌedi'tɔ:riəl/      	n.社论  a.社论的；编辑上的    
	spokesman      	/'spəuksmən/        	n.发言人               
	Christian      	/'kristjən/         	n.基督教徒 a.基督教徒的      
	statement      	/'steitmənt/        	n.声明,陈述             
	butterfly      	/'bʌtəflai/         	n.蝴蝶                
	inflation      	/in'fleiʃən/        	n.通货膨胀              
	explosion      	/ɪk'spləuʒn/        	n.爆炸,爆发             
	ice-cream      	/'aiskri:m/         	n.冰淇淋               
	southwest      	/ˌsauθ'west/        	n.                  
	sociology      	/ˌsəusi'ɔlədʒi/     	n.社会学               
	suspicion      	/sə'spiʃən/         	n.怀疑，猜疑；一点儿，少量      
	reduction      	/rɪ'dʌkʃn/          	n.减小,减少,缩小          
	recommend      	/ˌrekə'mend/        	v.推荐,介绍;劝告,建议       
	frequency      	/'frikwənsi/        	n.频率,周率             
	newspaper      	/'nju:sˌpeipə/      	n.报纸                
	formation      	/fɔ:'meiʃən/        	n.形成;构成;组织;构造;编制;塑造 
	expansion      	/ik'spænʃən/        	n.扩张,膨胀;张开,伸展       
	physicist      	/'fizisist/         	n.物理学家              
----------
realistic      	/ˌriə'listik/       	a.现实(主义)的           
	alleviate      	/ə'li:vieit/        	v.减轻，缓和，缓解(痛苦等)     
	fortunate      	/'fɔ:tʃənit/        	a.幸运的,侥幸的           
	anonymous      	/ə'nɔniməs/         	a.匿名的，无名的，姓氏不明的     
	important      	/im'pɔ:tənt/        	a.重要的,重大的;有地位的,有权力的 
	component      	/kəm'pəunənt/       	n.组成部分,成分,元件 a.组成的,合成的
	conscious      	/'kɔnʃəs/           	a.(of)意识到的,自觉的;神志清醒的
	afternoon      	/ˌɑ:ftə:'nu:n/      	n.下午，午后             
	waterfall      	/'wɔ:təfɔ:l/        	n.瀑布                
	exception      	/ik'sepʃən/         	n.例外,除外;反对;异议       
	paperback      	/'peipəbæk/         	n.平装本，简装本           
	auxiliary      	/ɔ:g'ziljəri/       	a.辅助的，支援的 n.辅助者，辅助设备
	potential      	/pəu'tenʃəl/        	a.潜在的,可能的 n.潜能,潜力   
	housework      	/'hauswə:k/         	n.家务，家事(不可数)        
	essential      	/i'senʃəl/          	a.本质的,基本的;净化的 n.本质;要素
	historian      	/his'tɔ:riən/       	n.历史学家              
	direction      	/di'rekʃən/         	n.方向,方位;指令,说明       
	miserable      	/'mizərəbl/         	a.痛苦的,悲惨的           
	sometimes      	/'sʌmtaimz/         	ad.不时，有时，间或         
	interrupt      	/ˌintə'rʌpt/        	v.中断,遮断,阻碍;打断(话),打扰 
	communism      	/'kɔmjunizəm/       	n.共产主义              
	snowstorm      	/'snəustɔ:m/        	n.暴风雪               
